"sclAutoID","sclName","sclCode","sclCluster","sclCommune","sclDistrict","sclProvince","sclZone","sclOrder","sclStatus","sclImage","sclZoneName","sclProvinceName","sclDistrictName","updated_at","total_students","total_teachers","total_teachers_female","total_students_female","created_at","deleted_at","updatedat","latitude","longitude","province_code"
"7014","សាលាបឋមសិក្សាសំរោង","20051106037",,,"111","23","3","7014","1",,,,,,,,,,,,,"10.55602346936865","104.2108123986057","23"
"7027","សាលាបឋមសិក្សាតាសួស","20050503018",,,"111","23","3","7027","1",,,,,,,,,,,,,"10.5020099557731","104.2854572859265","23"
"7028","សាលាបឋមសិក្សាព្រែកទប់","20050507020",,,"111","23","3","7028","1",,,,,,,,,,,,,"10.54766087077868","104.2531663226997","23"
"7032","សាលាបឋមសិក្សា៧មករាបាសាក់","20050201004",,,"111","23","3","7032","1",,,,,,,,,,,,,"10.50267991478589","104.2650732012503","23"
"7033","សាលាបឋមសិក្សាទួលច្រេស","20050205008",,,"111","23","3","7033","1",,,,,,,,,,,,,"10.45824503974237","104.2234247146002","23"
"7029","សាលាបឋមសិក្សាធ្លក","20051704053",,,"111","23","3","7029","1",,,,,,,,,,,,,"10.57599765615475","104.3824246458015","23"
"7034","សាលាបឋមសិក្សាបាយ៉ាប","20050203006",,,"111","23","3","7034","1",,,,,,,,,,,,,"10.51864549495547","104.2165590500111","23"
"7015","សាលាបឋមសិក្សាតានូ","20050302010",,,"111","23","3","7015","1",,,,,,,,,,,,,"10.47524795923465","104.3476020941681","23"
"7035","សាលាបឋមសិក្សាពោធិរស់","20050204007",,,"111","23","3","7035","1",,,,,,,,,,,,,"10.4441735290438","104.2977678043027","23"
"7040","សាលាបឋមសិក្សាថ្មស","20051401042",,,"111","23","3","7040","1",,,,,,,,,,,,,"10.58226614544726","104.2259497393042","23"
"7030","សាលាបឋមសិក្សាភូមិធំ","20051706054",,,"111","23","3","7030","1",,,,,,,,,,,,,"10.4008443709407","104.2084763535825","23"
"7041","សាលាបឋមសិក្សាស្វាយជ្រំ","20051404043",,"832","111","23","3","7041","1",,,,,,,,,,,,,"10.59690369898033","104.3053131932605","23"
"7022","សាលាបឋមសិក្សាច័ន្សា","20050806025",,,"111","23","3","7022","1",,,,,,,,,,,,,"10.59619639166918","104.2526540779053","23"
"7042","សាលាបឋមសិក្សាដក់ពរ","20051505046",,,"111","23","3","7042","1",,,,,,,,,,,,,"10.40531372883792","104.3120102120487","23"
"7018","សាលាបឋមសិក្សាឈើទាល","20050707024",,,"111","23","3","7018","1",,,,,,,,,,,,,"10.43037337665878","104.245097364027","23"
"7043","សាលាបឋមសិក្សាទួលសាមគ្គីឧត្តម","20051507062",,,"111","23","3","7043","1",,,,,,,,,,,,,"10.44766049924036","104.353947819411","23"
"7031","សាលាបឋមសិក្សាវត្តទ្រា","20051702052",,,"111","23","3","7031","1",,,,,,,,,,,,,"10.51620398274209","104.27174601983","23"
"7020","សាលាបឋមសិក្សាវត្តស្លា","20050704064",,,"111","23","3","7020","1",,,,,,,,,,,,,"10.45928908959718","104.3476015409767","23"
"7023","សាលាបឋមសិក្សាល្ងើន","20050807026",,,"111","23","3","7023","1",,,,,,,,,,,,,"10.42899943167755","104.2140466778224","23"
"7021","សាលាបឋមសិក្សាអង្គសត្វ","20050711056",,,"111","23","3","7021","1",,,,,,,,,,,,,"10.47479280036922","104.2315293078319","23"
"7019","សាលាបឋមសិក្សាវត្តឈើទាល","20050709023",,,"111","23","3","7019","0",,,,,,,,,,,,,"10.46923066197137","104.3122310452377","23"
"7047","សាលាបឋមសិក្សាកៀនតាស៊ីវ","20051611051",,,"111","23","3","7047","1",,,,,,,,,,,,,"10.51454814131274","104.3024595261224","23"
"7045","សាលាបឋមសិក្សាសំរោងពេជ្រ","20051511047",,,"111","23","3","7045","1",,,,,,,,,,,,,"10.51303526276179","104.359854575893","23"
"7048","សាលាបឋមសិក្សាក្តីស្លា","20051608049",,,"111","23","3","7048","1",,,,,,,,,,,,,"10.5608762030592","104.2337608365365","23"
"7024","សាលាបឋមសិក្សាសូរ","20050810028",,,"111","23","3","7024","1",,,,,,,,,,,,,"10.41734832748184","104.2738220650881","23"
"7036","សាលាបឋមសិក្សាស្វាយតាភ្ល","20050202005",,,"111","23","3","7036","1",,,,,,,,,,,,,"10.48447951719091","104.3216683296033","23"
"7046","សាលាបឋមសិក្សាអង្គឬស្សី","20051503045",,,"111","23","3","7046","1",,,,,,,,,,,,,"10.58911957592699","104.3130673240767","23"
"7058","សាលាបឋមសិក្សាកណ្តៀងរាយ","20070308034",,,"113","23","3","7058","1",,,,,,,,,,,,,"10.54697099413567","104.2182885543427","23"
"7066","សាលាបឋមសិក្សាពេជ្រមន្ត្រី","20070702017",,,"113","23","3","7066","1",,,,,,,,,,,,,"10.46798845878035","104.3333687174679","23"
"7060","សាលាបឋមសិក្សាម៉ឹងសំផន","20070306516",,,"113","23","3","7060","1",,,,,,,,,,,,,"10.49872719121544","104.2990104441324","23"
"7068","សាលាបឋមសិក្សាព្រៃរំដួល","20070701016",,,"113","23","3","7068","1",,,,,,,,,,,,,"10.42603465023843","104.3902813656071","23"
"7062","សាលាបឋមសិក្សាគគីរសោម","20070201006",,,"113","23","3","7062","1",,,,,,,,,,,,,"10.49156899003335","104.3730719703633","23"
"7082","សាលាបឋមសិក្សាសំបួរ","20070901021",,,"113","23","3","7082","1",,,,,,,,,,,,,"10.44374983168658","104.2482274684019","23"
"7081","សាលាបឋមសិក្សាសាមគ្គីរង្សី","20070908024",,,"113","23","3","7081","1",,,,,,,,,,,,,"10.4412694723812","104.285306322502","23"
